Date,MSCI Stocks Weeks
2016-12-12,25.7016177474419
2016-12-19,25.832824596789322
2016-12-26,25.964056814823778
2017-01-02,26.09569251565444
2017-01-09,26.225561408677972
2017-01-16,26.354933763013324
2017-01-23,26.48447532836769
2017-01-30,26.61324848929379
2017-02-06,26.741581237287203
2017-02-13,26.868145252100256
2017-02-20,26.993783178672427
2017-02-27,27.11909431578328
2017-03-06,27.244125052506057
2017-03-13,27.368863828718872
2017-03-20,27.492897964566847
2017-03-27,27.61796597029496
2017-04-03,27.742775583630618
2017-04-10,27.867733202171664
2017-04-17,27.99273481677585
2017-04-24,28.1160320308753
2017-05-01,28.238619258838916
2017-05-08,28.360248309694455
2017-05-15,28.48160105299457
2017-05-22,28.602744844213746
2017-05-29,28.723458989094862
2017-06-05,28.842921455779766
2017-06-12,28.963195198818923
2017-06-19,29.082362173995648
2017-06-26,29.202087428481654
2017-07-03,29.32224343904577
2017-07-10,29.442616933925684
2017-07-17,29.56104637011472
2017-07-24,29.67909655875892
2017-07-31,29.796769921039903
2017-08-07,29.913807101411365
2017-08-14,30.03199392641686
2017-08-21,30.15142609809981
2017-08-28,30.269995487277747
2017-09-04,30.387535791848183
2017-09-11,30.50397006217984
2017-09-18,30.61990071092002
2017-09-25,30.735918784989053
2017-10-02,30.851034604934096
2017-10-09,30.965667230296336
2017-10-16,31.07935281462319
2017-10-23,31.19302887876377
2017-10-30,31.306451843965224
2017-11-06,31.41919819474167
2017-11-13,31.53255875728213
2017-11-20,31.645918206113375
2017-11-27,31.758172607514908
2017-12-04,31.869655866259748
2017-12-11,31.980536509899707
2017-12-18,32.0902166606441
2017-12-25,32.20010991034135
2018-01-01,32.30981873945193
2018-01-08,32.41675734386036
2018-01-15,32.52194170575066
2018-01-22,32.62584453859213
2018-01-29,32.7291330378309
2018-02-05,32.838833001117976
2018-02-12,32.949998336209205
2018-02-19,33.058039400456906
2018-02-26,33.16489333220075
2018-03-05,33.27444019525329
2018-03-12,33.38156246961629
2018-03-19,33.49091104371089
2018-03-26,33.60244063864655
2018-04-02,33.715643828561504
2018-04-09,33.827603051519716
2018-04-16,33.93750258136953
2018-04-23,34.047538357668266
2018-04-30,34.15813894466245
2018-05-07,34.268193612484446
2018-05-14,34.37622708989843
2018-05-21,34.484532841367056
2018-05-28,34.59405059090872
2018-06-04,34.70280858190211
2018-06-11,34.81043344468041
2018-06-18,34.91899037211409
2018-06-25,35.02963974747992
2018-07-02,35.1404756571324
2018-07-09,35.24876006396125
2018-07-16,35.356960698233365
2018-07-23,35.464825013553835
2018-07-30,35.57224697597405
2018-08-06,35.679216313569995
2018-08-13,35.787687516815744
2018-08-20,35.89526020368026
2018-08-27,36.00112007696599
2018-09-03,36.10729800427375
2018-09-10,36.215001225892514
