"Date","Price","Open","High","Low","Vol.","Change %"
"08/15/2017","1,949.23","1,952.32","1,954.18","1,947.28","","-0.17%"
"08/14/2017","1,952.58","1,937.72","1,954.66","1,936.45","","0.77%"
"08/11/2017","1,937.73","1,940.60","1,942.13","1,934.11","","-0.13%"
"08/10/2017","1,940.28","1,963.19","1,963.48","1,940.28","","-1.10%"
"08/09/2017","1,961.88","1,968.23","1,968.56","1,955.19","","-0.25%"
"08/08/2017","1,966.81","1,972.43","1,974.82","1,966.09","","-0.25%"
"08/07/2017","1,971.76","1,969.81","1,972.13","1,968.71","","0.20%"
"08/04/2017","1,967.77","1,968.53","1,971.42","1,964.54","","-0.05%"
"08/03/2017","1,968.72","1,969.31","1,970.90","1,966.61","","-0.08%"
"08/02/2017","1,970.29","1,969.78","1,971.13","1,963.79","","-0.01%"
"08/01/2017","1,970.39","1,962.13","1,971.42","1,962.13","","0.47%"
"07/31/2017","1,961.10","1,960.68","1,965.22","1,959.17","","0.04%"
"07/28/2017","1,960.32","1,964.38","1,964.47","1,955.70","","-0.16%"
"07/27/2017","1,963.54","1,967.43","1,971.25","1,956.86","","0.08%"
"07/26/2017","1,961.90","1,960.39","1,968.83","1,958.93","","0.07%"
"07/25/2017","1,960.59","1,954.08","1,964.51","1,954.04","","0.29%"
"07/24/2017","1,954.84","1,958.64","1,958.69","1,952.52","","-0.20%"
"07/21/2017","1,958.77","1,961.90","1,963.89","1,953.65","","-0.23%"
"07/20/2017","1,963.31","1,958.75","1,964.74","1,958.31","","0.24%"
"07/19/2017","1,958.56","1,948.14","1,958.56","1,948.04","","0.46%"
"07/18/2017","1,949.66","1,947.85","1,951.16","1,944.00","","0.06%"
"07/17/2017","1,948.58","1,949.63","1,950.91","1,947.10","","0.03%"
"07/14/2017","1,948.07","1,937.96","1,951.18","1,937.56","","0.57%"
"07/13/2017","1,936.94","1,933.56","1,938.24","1,933.31","","0.21%"
"07/12/2017","1,932.86","1,918.27","1,934.47","1,916.99","","0.90%"
"07/11/2017","1,915.67","1,917.76","1,919.77","1,910.23","","-0.08%"
"07/10/2017","1,917.11","1,914.86","1,920.07","1,913.50","","0.21%"
"07/07/2017","1,913.18","1,908.25","1,914.36","1,905.25","","0.22%"
"07/06/2017","1,909.01","1,921.14","1,921.36","1,908.64","","-0.59%"
"07/05/2017","1,920.33","1,919.22","1,922.27","1,914.53","","0.07%"
"07/04/2017","1,918.90","1,921.94","1,922.68","1,918.27","","-0.09%"
"07/03/2017","1,920.58","1,917.50","1,925.61","1,915.68","","0.22%"
"06/30/2017","1,916.43","1,919.66","1,923.40","1,915.33","","-0.16%"
"06/29/2017","1,919.59","1,933.29","1,938.69","1,914.00","","-0.63%"
"06/28/2017","1,931.73","1,919.15","1,933.33","1,916.70","","0.74%"
"06/27/2017","1,917.57","1,926.52","1,928.93","1,917.57","","-0.51%"
"06/26/2017","1,927.49","1,925.08","1,935.08","1,924.69","","0.13%"
"06/23/2017","1,925.01","1,921.78","1,926.68","1,919.10","","0.18%"
"06/22/2017","1,921.54","1,921.15","1,924.93","1,919.26","","0.08%"
"06/21/2017","1,920.00","1,923.18","1,923.99","1,917.56","","-0.13%"
"06/20/2017","1,922.54","1,936.01","1,937.46","1,922.54","","-0.72%"
"06/19/2017","1,936.52","1,922.86","1,936.62","1,922.61","","0.69%"
"06/16/2017","1,923.24","1,916.80","1,923.24","1,916.33","","0.35%"
"06/15/2017","1,916.52","1,926.48","1,926.94","1,908.09","","-0.73%"
"06/14/2017","1,930.52","1,929.22","1,936.35","1,922.59","","0.09%"
"06/13/2017","1,928.74","1,918.87","1,929.08","1,918.84","","0.52%"
"06/12/2017","1,918.70","1,923.43","1,924.69","1,914.40","","-0.21%"
"06/09/2017","1,922.79","1,921.36","1,930.25","1,916.34","","-0.07%"
"06/08/2017","1,924.20","1,926.43","1,927.11","1,920.62","","-0.15%"
"06/07/2017","1,927.06","1,926.12","1,930.85","1,922.57","","0.05%"
"06/06/2017","1,926.05","1,931.17","1,932.18","1,924.88","","-0.29%"
"06/05/2017","1,931.73","1,934.38","1,934.75","1,930.48","","-0.18%"
"06/02/2017","1,935.21","1,923.10","1,936.26","1,922.96","","0.63%"
"06/01/2017","1,923.10","1,910.96","1,923.10","1,910.92","","0.59%"
"05/31/2017","1,911.74","1,908.92","1,914.93","1,907.08","","0.10%"
"05/30/2017","1,909.90","1,909.89","1,911.66","1,907.94","","-0.09%"
"05/29/2017","1,911.70","1,912.12","1,912.49","1,910.68","","-0.03%"
"05/26/2017","1,912.21","1,913.98","1,913.99","1,909.48","","-0.12%"
"05/25/2017","1,914.59","1,910.46","1,916.21","1,909.10","","0.36%"
"05/24/2017","1,907.81","1,904.63","1,910.25","1,903.76","","0.06%"
"05/23/2017","1,906.69","1,904.21","1,908.23","1,902.68","","0.09%"
"05/22/2017","1,904.92","1,896.17","1,904.92","1,894.77","","0.54%"
"05/19/2017","1,894.77","1,879.79","1,899.15","1,878.89","","0.73%"
"05/18/2017","1,880.96","1,881.77","1,883.19","1,873.03","","-0.09%"
"05/17/2017","1,882.62","1,906.17","1,907.33","1,882.62","","-1.24%"
"05/16/2017","1,906.23","1,902.39","1,908.10","1,901.80","","0.24%"
"05/15/2017","1,901.64","1,892.03","1,902.44","1,891.97","","0.46%"
"05/12/2017","1,892.97","1,890.59","1,893.63","1,889.47","","0.09%"
